,date,declination,right_ascension
0,1/2/2018,15d 30m 8s South,14h 51m 37s
1,1/3/2018,15d 41m 20s South,14h 54m 5s
2,1/4/2018,15d 52m 24s South,14h 56m 33s
3,1/5/2018,16d 3m 23s South,14h 59m 1s
4,1/6/2018,16d 14m 14s South,15h 1m 30s
5,1/7/2018,16d 24m 59s South,15h 3m 58s
6,1/8/2018,16d 35m 37s South,15h 6m 27s
7,1/9/2018,16d 46m 8s South,15h 8m 56s
8,1/10/2018,16d 56m 33s South,15h 11m 25s
9,1/11/2018,17d 6m 50s South,15h 13m 54s
10,1/12/2018,17d 17m 0s South,15h 16m 24s
11,1/13/2018,17d 27m 3s South,15h 18m 54s
12,1/14/2018,17d 36m 58s South,15h 21m 23s
13,1/15/2018,17d 46m 47s South,15h 23m 54s
14,1/16/2018,17d 56m 28s South,15h 26m 24s
15,1/17/2018,18d 6m 1s South,15h 28m 54s
16,1/18/2018,18d 15m 27s South,15h 31m 25s
17,1/19/2018,18d 24m 46s South,15h 33m 56s
18,1/20/2018,18d 33m 57s South,15h 36m 26s
19,1/21/2018,18d 43m 0s South,15h 38m 58s
20,1/22/2018,18d 51m 55s South,15h 41m 29s
21,1/23/2018,19d 0m 43s South,15h 44m 0s
22,1/24/2018,19d 9m 22s South,15h 46m 32s
23,1/25/2018,19d 17m 54s South,15h 49m 3s
24,1/26/2018,19d 26m 18s South,15h 51m 35s
25,1/27/2018,19d 34m 33s South,15h 54m 7s
26,1/28/2018,19d 42m 41s South,15h 56m 39s
27,1/29/2018,19d 50m 41s South,15h 59m 11s
28,1/30/2018,19d 58m 32s South,16h 1m 44s
29,1/31/2018,20d 6m 15s South,16h 4m 16s
30,2/1/2018,20d 13m 50s South,16h 6m 49s
31,2/2/2018,20d 21m 16s South,16h 9m 21s
32,2/3/2018,20d 28m 35s South,16h 11m 54s
33,2/4/2018,20d 35m 44s South,16h 14m 27s
34,2/5/2018,20d 42m 46s South,16h 17m 0s
35,2/6/2018,20d 49m 39s South,16h 19m 33s
36,2/7/2018,20d 56m 23s South,16h 22m 6s
37,2/8/2018,21d 2m 59s South,16h 24m 39s
38,2/9/2018,21d 9m 27s South,16h 27m 12s
39,2/10/2018,21d 15m 45s South,16h 29m 45s
40,2/11/2018,21d 21m 56s South,16h 32m 18s
41,2/12/2018,21d 27m 57s South,16h 34m 52s
42,2/13/2018,21d 33m 50s South,16h 37m 25s
43,2/14/2018,21d 39m 35s South,16h 39m 58s
44,2/15/2018,21d 45m 10s South,16h 42m 32s
45,2/16/2018,21d 50m 37s South,16h 45m 5s
46,2/17/2018,21d 55m 56s South,16h 47m 38s
47,2/18/2018,22d 1m 6s South,16h 50m 11s
48,2/19/2018,22d 6m 7s South,16h 52m 45s
49,2/20/2018,22d 10m 59s South,16h 55m 18s
50,2/21/2018,22d 15m 43s South,16h 57m 51s
51,2/22/2018,22d 20m 18s South,17h 0m 24s
52,2/23/2018,22d 24m 44s South,17h 2m 57s
53,2/24/2018,22d 29m 2s South,17h 5m 30s
54,2/25/2018,22d 33m 11s South,17h 8m 3s
55,2/26/2018,22d 37m 12s South,17h 10m 35s
56,2/27/2018,22d 41m 4s South,17h 13m 8s
57,2/28/2018,22d 44m 47s South,17h 15m 40s
58,3/1/2018,22d 48m 22s South,17h 18m 13s
59,3/2/2018,22d 51m 48s South,17h 20m 45s
60,3/3/2018,22d 55m 6s South,17h 23m 17s
61,3/4/2018,22d 58m 15s South,17h 25m 49s
62,3/5/2018,23d 1m 16s South,17h 28m 21s
63,3/6/2018,23d 4m 8s South,17h 30m 52s
64,3/7/2018,23d 6m 53s South,17h 33m 23s
65,3/8/2018,23d 9m 28s South,17h 35m 54s
66,3/9/2018,23d 11m 56s South,17h 38m 25s
67,3/10/2018,23d 14m 16s South,17h 40m 56s
68,3/11/2018,23d 16m 27s South,17h 43m 26s
69,3/12/2018,23d 18m 30s South,17h 45m 56s
70,3/13/2018,23d 20m 26s South,17h 48m 26s
71,3/14/2018,23d 22m 13s South,17h 50m 56s
72,3/15/2018,23d 23m 52s South,17h 53m 25s
73,3/16/2018,23d 25m 24s South,17h 55m 54s
74,3/17/2018,23d 26m 48s South,17h 58m 22s
75,3/18/2018,23d 28m 5s South,18h 0m 51s
76,3/19/2018,23d 29m 13s South,18h 3m 19s
77,3/20/2018,23d 30m 15s South,18h 5m 46s
78,3/21/2018,23d 31m 9s South,18h 8m 13s
79,3/22/2018,23d 31m 55s South,18h 10m 40s
80,3/23/2018,23d 32m 35s South,18h 13m 6s
81,3/24/2018,23d 33m 7s South,18h 15m 32s
82,3/25/2018,23d 33m 33s South,18h 17m 58s
83,3/26/2018,23d 33m 52s South,18h 20m 23s
84,3/27/2018,23d 34m 4s South,18h 22m 47s
85,3/28/2018,23d 34m 9s South,18h 25m 11s
86,3/29/2018,23d 34m 8s South,18h 27m 35s
87,3/30/2018,23d 34m 0s South,18h 29m 58s
88,3/31/2018,23d 33m 46s South,18h 32m 20s
89,4/1/2018,23d 33m 26s South,18h 34m 42s
90,4/2/2018,23d 33m 0s South,18h 37m 4s
91,4/3/2018,23d 32m 28s South,18h 39m 24s
92,4/4/2018,23d 31m 51s South,18h 41m 45s
93,4/5/2018,23d 31m 8s South,18h 44m 4s
94,4/6/2018,23d 30m 19s South,18h 46m 23s
95,4/7/2018,23d 29m 25s South,18h 48m 41s
96,4/8/2018,23d 28m 26s South,18h 50m 59s
97,4/9/2018,23d 27m 23s South,18h 53m 16s
98,4/10/2018,23d 26m 14s South,18h 55m 32s
99,4/11/2018,23d 25m 1s South,18h 57m 48s
100,4/12/2018,23d 23m 43s South,19h 0m 3s
101,4/13/2018,23d 22m 22s South,19h 2m 17s
102,4/14/2018,23d 20m 56s South,19h 4m 30s
103,4/15/2018,23d 19m 26s South,19h 6m 43s
104,4/16/2018,23d 17m 52s South,19h 8m 54s
105,4/17/2018,23d 16m 16s South,19h 11m 5s
106,4/18/2018,23d 14m 35s South,19h 13m 15s
107,4/19/2018,23d 12m 52s South,19h 15m 24s
108,4/20/2018,23d 11m 6s South,19h 17m 33s
109,4/21/2018,23d 9m 17s South,19h 19m 40s
110,4/22/2018,23d 7m 26s South,19h 21m 46s
111,4/23/2018,23d 5m 32s South,19h 23m 52s
112,4/24/2018,23d 3m 37s South,19h 25m 56s
113,4/25/2018,23d 1m 40s South,19h 28m 0s
114,4/26/2018,22d 59m 41s South,19h 30m 2s
115,4/27/2018,22d 57m 41s South,19h 32m 4s
116,4/28/2018,22d 55m 39s South,19h 34m 4s
117,4/29/2018,22d 53m 37s South,19h 36m 3s
118,4/30/2018,22d 51m 35s South,19h 38m 1s
119,5/1/2018,22d 49m 32s South,19h 39m 59s
120,5/2/2018,22d 47m 29s South,19h 41m 54s
121,5/3/2018,22d 45m 26s South,19h 43m 49s
122,5/4/2018,22d 43m 24s South,19h 45m 42s
123,5/5/2018,22d 41m 23s South,19h 47m 35s
124,5/6/2018,22d 39m 22s South,19h 49m 26s
125,5/7/2018,22d 37m 23s South,19h 51m 15s
126,5/8/2018,22d 35m 25s South,19h 53m 4s
127,5/9/2018,22d 33m 30s South,19h 54m 50s
128,5/10/2018,22d 31m 36s South,19h 56m 36s
129,5/11/2018,22d 29m 45s South,19h 58m 20s
130,5/12/2018,22d 27m 56s South,20h 0m 3s
131,5/13/2018,22d 26m 11s South,20h 1m 44s
132,5/14/2018,22d 24m 29s South,20h 3m 24s
133,5/15/2018,22d 22m 51s South,20h 5m 2s
134,5/16/2018,22d 21m 16s South,20h 6m 38s
135,5/17/2018,22d 19m 46s South,20h 8m 13s
136,5/18/2018,22d 18m 21s South,20h 9m 46s
137,5/19/2018,22d 17m 0s South,20h 11m 18s
138,5/20/2018,22d 15m 44s South,20h 12m 48s
139,5/21/2018,22d 14m 35s South,20h 14m 16s
140,5/22/2018,22d 13m 31s South,20h 15m 42s
141,5/23/2018,22d 12m 33s South,20h 17m 6s
142,5/24/2018,22d 11m 41s South,20h 18m 29s
143,5/25/2018,22d 10m 57s South,20h 19m 49s
144,5/26/2018,22d 10m 19s South,20h 21m 8s
145,5/27/2018,22d 9m 49s South,20h 22m 25s
146,5/28/2018,22d 9m 27s South,20h 23m 39s
147,5/29/2018,22d 9m 13s South,20h 24m 52s
148,5/30/2018,22d 9m 7s South,20h 26m 2s
149,5/31/2018,22d 9m 10s South,20h 27m 10s
150,6/1/2018,22d 9m 22s South,20h 28m 16s
151,6/2/2018,22d 9m 43s South,20h 29m 19s
152,6/3/2018,22d 10m 13s South,20h 30m 21s
153,6/4/2018,22d 10m 54s South,20h 31m 19s
154,6/5/2018,22d 11m 45s South,20h 32m 16s
155,6/6/2018,22d 12m 46s South,20h 33m 10s
156,6/7/2018,22d 13m 57s South,20h 34m 1s
157,6/8/2018,22d 15m 20s South,20h 34m 50s
158,6/9/2018,22d 16m 54s South,20h 35m 36s
159,6/10/2018,22d 18m 39s South,20h 36m 20s
160,6/11/2018,22d 20m 35s South,20h 37m 1s
161,6/12/2018,22d 22m 43s South,20h 37m 39s
162,6/13/2018,22d 25m 3s South,20h 38m 15s
163,6/14/2018,22d 27m 35s South,20h 38m 47s
164,6/15/2018,22d 30m 18s South,20h 39m 17s
165,6/16/2018,22d 33m 14s South,20h 39m 44s
166,6/17/2018,22d 36m 22s South,20h 40m 7s
167,6/18/2018,22d 39m 43s South,20h 40m 28s
168,6/19/2018,22d 43m 15s South,20h 40m 46s
169,6/20/2018,22d 47m 0s South,20h 41m 1s
170,6/21/2018,22d 50m 57s South,20h 41m 12s
171,6/22/2018,22d 55m 5s South,20h 41m 21s
172,6/23/2018,22d 59m 26s South,20h 41m 26s
173,6/24/2018,23d 3m 58s South,20h 41m 28s
174,6/25/2018,23d 8m 42s South,20h 41m 27s
175,6/26/2018,23d 13m 36s South,20h 41m 23s
176,6/27/2018,23d 18m 42s South,20h 41m 16s
177,6/28/2018,23d 23m 58s South,20h 41m 5s
178,6/29/2018,23d 29m 24s South,20h 40m 51s
179,6/30/2018,23d 34m 59s South,20h 40m 34s
180,7/1/2018,23d 40m 44s South,20h 40m 14s
181,7/2/2018,23d 46m 37s South,20h 39m 51s
182,7/3/2018,23d 52m 39s South,20h 39m 24s
183,7/4/2018,23d 58m 47s South,20h 38m 55s
184,7/5/2018,24d 5m 2s South,20h 38m 22s
185,7/6/2018,24d 11m 23s South,20h 37m 46s
186,7/7/2018,24d 17m 49s South,20h 37m 8s
187,7/8/2018,24d 24m 19s South,20h 36m 27s
188,7/9/2018,24d 30m 53s South,20h 35m 43s
189,7/10/2018,24d 37m 29s South,20h 34m 56s
190,7/11/2018,24d 44m 7s South,20h 34m 6s
191,7/12/2018,24d 50m 46s South,20h 33m 14s
192,7/13/2018,24d 57m 24s South,20h 32m 20s
193,7/14/2018,25d 4m 1s South,20h 31m 24s
194,7/15/2018,25d 10m 35s South,20h 30m 25s
195,7/16/2018,25d 17m 6s South,20h 29m 25s
196,7/17/2018,25d 23m 33s South,20h 28m 22s
197,7/18/2018,25d 29m 55s South,20h 27m 18s
198,7/19/2018,25d 36m 10s South,20h 26m 13s
199,7/20/2018,25d 42m 17s South,20h 25m 6s
200,7/21/2018,25d 48m 17s South,20h 23m 58s
201,7/22/2018,25d 54m 7s South,20h 22m 49s
202,7/23/2018,25d 59m 47s South,20h 21m 40s
203,7/24/2018,26d 5m 16s South,20h 20m 30s
204,7/25/2018,26d 10m 32s South,20h 19m 19s
205,7/26/2018,26d 15m 37s South,20h 18m 9s
206,7/27/2018,26d 20m 27s South,20h 16m 58s
207,7/28/2018,26d 25m 4s South,20h 15m 48s
208,7/29/2018,26d 29m 26s South,20h 14m 38s
209,7/30/2018,26d 33m 32s South,20h 13m 29s
210,7/31/2018,26d 37m 23s South,20h 12m 21s
211,8/1/2018,26d 40m 58s South,20h 11m 14s
212,8/2/2018,26d 44m 15s South,20h 10m 8s
213,8/3/2018,26d 47m 16s South,20h 9m 3s
214,8/4/2018,26d 50m 0s South,20h 8m 0s
215,8/5/2018,26d 52m 26s South,20h 6m 59s
216,8/6/2018,26d 54m 35s South,20h 6m 0s
217,8/7/2018,26d 56m 25s South,20h 5m 4s
218,8/8/2018,26d 57m 59s South,20h 4m 9s
219,8/9/2018,26d 59m 14s South,20h 3m 17s
220,8/10/2018,27d 0m 12s South,20h 2m 28s
221,8/11/2018,27d 0m 52s South,20h 1m 41s
222,8/12/2018,27d 1m 15s South,20h 0m 57s
223,8/13/2018,27d 1m 21s South,20h 0m 16s
224,8/14/2018,27d 1m 9s South,19h 59m 38s
225,8/15/2018,27d 0m 41s South,19h 59m 4s
226,8/16/2018,26d 59m 56s South,19h 58m 32s
227,8/17/2018,26d 58m 55s South,19h 58m 4s
228,8/18/2018,26d 57m 38s South,19h 57m 39s
229,8/19/2018,26d 56m 5s South,19h 57m 18s
230,8/20/2018,26d 54m 17s South,19h 57m 0s
231,8/21/2018,26d 52m 14s South,19h 56m 45s
232,8/22/2018,26d 49m 56s South,19h 56m 34s
233,8/23/2018,26d 47m 24s South,19h 56m 27s
234,8/24/2018,26d 44m 38s South,19h 56m 23s
235,8/25/2018,26d 41m 37s South,19h 56m 23s
236,8/26/2018,26d 38m 24s South,19h 56m 26s
237,8/27/2018,26d 34m 57s South,19h 56m 33s
238,8/28/2018,26d 31m 17s South,19h 56m 43s
239,8/29/2018,26d 27m 25s South,19h 56m 57s
240,8/30/2018,26d 23m 20s South,19h 57m 15s
241,8/31/2018,26d 19m 4s South,19h 57m 35s
242,9/1/2018,26d 14m 35s South,19h 58m 0s
243,9/2/2018,26d 9m 55s South,19h 58m 27s
244,9/3/2018,26d 5m 4s South,19h 58m 58s
245,9/4/2018,26d 0m 1s South,19h 59m 33s
246,9/5/2018,25d 54m 48s South,20h 0m 10s
247,9/6/2018,25d 49m 23s South,20h 0m 51s
248,9/7/2018,25d 43m 49s South,20h 1m 35s
249,9/8/2018,25d 38m 3s South,20h 2m 22s
250,9/9/2018,25d 32m 8s South,20h 3m 12s
251,9/10/2018,25d 26m 2s South,20h 4m 5s
252,9/11/2018,25d 19m 47s South,20h 5m 1s
253,9/12/2018,25d 13m 21s South,20h 6m 0s
254,9/13/2018,25d 6m 46s South,20h 7m 2s
255,9/14/2018,25d 0m 1s South,20h 8m 7s
256,9/15/2018,24d 53m 7s South,20h 9m 14s
257,9/16/2018,24d 46m 3s South,20h 10m 24s
